
INFO   | jvm 1    | 2020/03/25 20:25:07 | Demo: stop(0)
STATUS | wrapper  | 2020/03/25 20:25:08 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/03/25 21:03:51 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2020/03/25 21:03:51 | Java Service Wrapper Community Edition 64-bit 3.5.42
STATUS | wrapper  | 2020/03/25 21:03:51 |   Copyright (C) 1999-2020 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2020/03/25 21:03:51 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2020/03/25 21:03:51 | 
STATUS | wrapper  | 2020/03/25 21:03:52 | Launching a JVM...
INFO   | jvm 1    | 2020/03/25 21:03:52 | WrapperManager: Initializing...
INFO   | jvm 1    | 2020/03/25 21:03:52 | WrapperSimpleApp Error: Unable to locate the class com.avioconsulting.mule.Foo : java.lang.ClassNotFoundException: com.avioconsulting.mule.Foo
INFO   | jvm 1    | 2020/03/25 21:03:52 | 
INFO   | jvm 1    | 2020/03/25 21:03:52 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2020/03/25 21:03:52 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 1    | 2020/03/25 21:03:52 | 
INFO   | jvm 1    | 2020/03/25 21:03:52 | Where:
INFO   | jvm 1    | 2020/03/25 21:03:52 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2020/03/25 21:03:52 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 1    | 2020/03/25 21:03:52 |                   application.
STATUS | wrapper  | 2020/03/25 21:03:54 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/03/25 21:03:58 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/03/25 21:03:58 | Java Service Wrapper Community Edition 64-bit 3.5.42
STATUS | wrapper  | 2020/03/25 21:03:58 |   Copyright (C) 1999-2020 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2020/03/25 21:03:58 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2020/03/25 21:03:58 | 
